site,data.source,day,month,year,section,distance.m,ch.spawn,ch.hold,ch.live.total,ch.live.est,reliability,pi.spawn,pi.hold,pi.live.total,pi.live.est,reliability,co.live.total,co.live.est,reliability,so.live.total,so.live.est,reliability,ch.bear,ch.wolf,ch.senes,ch.unknown,ch.dead.total,ch.dead.est,pi.bear,pi.wolf,pi.senes,pi.unknown,pi.dead.total,pi.dead.est,co.dead total,co.dead.est,Pink.active.spawning,Chum.active.spawning,Coho.active.spawning,Fish.countability,Sky.brightness,Windy,Precipitation.type,Precipitation.intensity,Bankfull,Water.colour,Stream.visibility,Rational.estimated.live,Rational.estimated.dead,NOTES
Troupe North,SFU,22,9,2011,total,180,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Bright,No,Rain,Light,Normal,DTDT,,,,
Troupe South,SFU,22,9,2011,estuary,0,0,2,2,,,0,10,10,,,0, ,,0, ,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,Before,,Nil,Bright,No,Rain,Light,Above Normal,DTDT,Low,,,
Troupe South,SFU,22,9,2011,1,60,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,Before,,Nil,Bright,No,Rain,Light,Above Normal,DTDT,Low,,,
Troupe South,SFU,22,9,2011,2,120,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,Before,,Nil,Bright,No,Rain,Light,Above Normal,DTDT,Low,,,
Troupe South,SFU,22,9,2011,3,195,0,0,0,,,0,0,0,,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,Before,Before,,Nil,Bright,No,Rain,Light,Above Normal,DTDT,Low,,,
Troupe South,SFU,22,9,2011,total,195,0,2,2,,,0,10,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,Before,,Nil,Bright,No,Rain,Light,Above Normal,DTDT,Low,,,
Farm Bay,SFU,22,9,2011,estuary,0,0,0,0,,,0,0,0,,,0, ,,0, ,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Bright,No,Rain,Light,Normal,DTDT,,,,
Farm Bay,SFU,22,9,2011,1,50,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Bright,No,Rain,Light,Normal,DTDT,,,,
Farm Bay,SFU,22,9,2011,2,100,0,0,0,,,0,0,0, ,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Bright,No,Rain,Light,Normal,DTDT,,,,
Farm Bay,SFU,22,9,2011,3,150,0,0,0,,,0,0,0,,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,,,,,Bright,No,Rain,Light,Normal,DTDT,,,,
Farm Bay,SFU,22,9,2011,total,150,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Bright,No,Rain,Light,Normal,DTDT,,,,
Beales Left,SFU,24,9,2011,estuary,0,0,22,22,,,0,37,37,,,0,,,0,,,12,2,4,3,21,,5,0,2,1,8,,0,,Start,Start,,Fair,Bright,No,None,,Above Normal,DTDT,Medium,,,
Beales Left,SFU,24,9,2011,1,100,95,0,95,,,107,0,107,,,0,,,0,,,5,4,5,0,14,,3,2,2,0,7,,0,,Start,Start,,Fair,Bright,No,None,,Above Normal,DTDT,Medium,,,
Beales Left,SFU,24,9,2011,2,200, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,Start,,Fair,Bright,No,None,,Above Normal,DTDT,Medium,,,
Beales Left,SFU,24,9,2011,3,235, , , ,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,Start,Start,,Fair,Bright,No,None,,Above Normal,DTDT,Medium,,,"Could not count beyond reach one, but der were fish der"
Beales Left,SFU,24,9,2011,total,100,95,22,117,200,,107,37,144,250,,0,,,0,,,17,6,9,3,35,,8,2,4,1,15,,0,,Start,Start,,Fair,Bright,No,None,,Above Normal,DTDT,Medium,,,Estuary counted in Beales Right
Beales Right,SFU,24,9,2011,estuary,0,0,11,11,,,0,95,95,,,0,,,0,,,1,1,1,3,6, ,0,0,0,0,0,,0,,Start,Start,,Nil,Medium,,None,,Above Normal,,Low,,,
Beales Right,SFU,24,9,2011,1,50,6,0,6,,,5,0,100,,,0,0,,0,0,,0,0,0,1,1,,0,0,0,2,2,,0,0,Start,Start,,Nil,Medium,,None,,Above Normal,,Low,,,
Beales Right,SFU,24,9,2011,total,50,6,11,17,,,5,95,100,,,0,,,0,,,1,1,1,4,7,,0,0,0,2,2,,0,,Start,Start,,Nil,Medium,,None,,Above Normal,,Low,,,Unable to do full count due to high water/low visibility
Kill Creek,SFU,28,9,2011,estuary,0,0,29,29,,,0,51,51,,,0,,,0,,,39,2,200,7,248,,4,0,9,14,27,,0,,Peak,End,,Good,Bright,No,None,,Normal,"DTDT, Muddy",High,,,
Kill Creek,SFU,28,9,2011,1,150,129,0,129,,,218,0,218,,,0, ,,0,,,0,0,710,0,710,,0,0,5,0,5,,0,,Peak,End,,Good,Bright,No,None,,Normal,"DTDT, Muddy",High,,,
Kill Creek,SFU,28,9,2011,2,290,117,0,117,,,68,0,68,,,0,,,0,,,19,8,195,0,222,,0,0,0,0,0,,0,,Peak,End,,Good,Bright,No,None,,Normal,"DTDT, Muddy",High,,,
Kill Creek,SFU,28,9,2011,3,420,176,0,176,,,125,0,125,,,0,0,,0,0,,37,8,121,0,166,,0,0,0,0,0,,0,0,Peak,End,,Good,Bright,No,None,,Normal,"DTDT, Muddy",High,,,
Kill Creek,SFU,28,9,2011,total,420,422,29,451,,,411,51,462,,,0,,,0,,,95,18,1226,7,1346,,4,0,14,14,32,,0,,Peak,End,,Good,Bright,No,None,,Normal,"DTDT, Muddy",High,,,
Fell Creek,SFU,28,9,2011,estuary,0,0,20,20,,,0,2,2,,,0,,,0,,,0,1,8,0,9,,0,0,0,0,0,,0,,,End,,Poor,Bright,No,None,,Above Normal,DTDT,Medium,,,
Fell Creek,SFU,28,9,2011,1,25,0,0,0,,,0,0,0,,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,,End,,Poor,Bright,No,None,,Above Normal,DTDT,Medium,,,
Fell Creek,SFU,28,9,2011,total,25,0,20,20,40,,0,2,2,,,0,,,0,,,0,1,8,0,9,,0,0,0,0,0,,0,,,End,,Poor,Bright,No,None,,Above Normal,DTDT,Medium,,,
Spiller Trib.#1,SFU,28,9,2011,estuary,0,0,0,0,,,0,19,19,,,0,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,Start,Start,,Fair,Bright,No,None,,Above Normal,DTDT,Medium,,,
Spiller Trib.#1,SFU,28,9,2011,1,50,7,0,7,,,7,0,7,,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,Start,Start,,Fair,Bright,No,None,,Above Normal,DTDT,Medium,,,
Spiller Trib.#1,SFU,28,9,2011,total,50,7,0,7,,,7,19,26,,,0,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,Start,Start,,Fair,Bright,No,None,,Above Normal,DTDT,Medium,,,
Mosquito Right,SFU,28,9,2011,estuary,0,0,0,0, ,,0,0,0,,,0,,,0,,,0,1,3,0,4,,0,0,0,0,0,,0,,Start,End,,Good,Bright,No,None,,Above Normal,DTDT,High,,,
Mosquito Right,SFU,28,9,2011,1,272,0,0,0,,,265,0,265,,,0,,,0,,,4,0,212,0,216,,0,1,10,4,15,,0,,Start,End,,Good,Bright,No,None,,Above Normal,DTDT,High,,,
Mosquito Right,SFU,28,9,2011,2,378,0,0,0,,,119,0,119,,,0,,,0,,,1,3,85,0,89,,5,0,2,0,7,,0,,Start,End,,Good,Bright,No,None,,Above Normal,DTDT,High,,,
Mosquito Right,SFU,28,9,2011,3,439,0,0,0,,,15,0,15,,,0,0,,0,0,,0,1,0,0,1,,0,0,0,0,0,,0,0,Start,End,,Good,Bright,No,None,,Above Normal,DTDT,High,,,
Mosquito Right,SFU,28,9,2011,total,439,0,0,0,,,399,0,399,,,0,,,0,,,5,5,300,0,310,,5,1,12,4,22,,0,,Start,End,,Good,Bright,No,None,,Above Normal,DTDT,High,,,
Mosquito Left,SFU,28,9,2011,estuary,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,End,,Good,Bright,,None,,Above Normal,DTDT,High,,,Estuary counted in Mosquito RIGHT
Mosquito Left,SFU,28,9,2011,1,66,18,0,18,,,228,0,228,,,0,,,0,,,0,0,0,4,4,,0,0,0,8,8,,0,,Start,End,,Good,Bright,,None,,Above Normal,DTDT,High,,,
Mosquito Left,SFU,28,9,2011,2,199,1,0,1,,,149,0,149,,,0,,,0,,,0,0,0,61,61,,0,0,0,79,79,,0,,Start,End,,Good,Bright,,None,,Above Normal,DTDT,High,,,
Mosquito Left,SFU,28,9,2011,3,349,2,0,2,,,207,0,207,,,0,0,,0,0,,0,0,0,38,38,,0,0,0,66,66,,0,0,Start,End,,Good,Bright,,None,,Above Normal,DTDT,High,,,
Mosquito Left,SFU,28,9,2011,total,614,21,0,21,,,584,0,584,,,0,,,0,,,0,0,0,103,103,,0,0,0,153,153,,0,,Start,End,,Good,Bright,,None,,Above Normal,DTDT,High,,,
Fancy Right,SFU,29,9,2011,estuary,0,0,24,24,,,0,139,139,,,0,,,0,,,8,4,25,3,40,,1,1,4,5,11,,0,,Start,Peak,,Good,Bright,No,None,,Normal,DTDT,High,,,
Fancy Right,SFU,29,9,2011,1,38,90,0,90,,,41,0,41,,,0,,,0,,,0,0,15,0,15,,0,0,1,0,1,,0,,Start,Peak,,Good,Bright,No,None,,Normal,DTDT,High,,,
Fancy Right,SFU,29,9,2011,2,71,49,0,49,,,0,0,0,,,0,,,0,,,0,1,5,0,6,,0,0,1,0,1,,0,,Start,Peak,,Good,Bright,No,None,,Normal,DTDT,High,,,
Fancy Right,SFU,29,9,2011,3,111,15,0,15,,,0,0,0,,,0, ,,0,,,1,0,9,0,10,,0,0,0,0,0,,0,,Start,Peak,,Good,Bright,No,None,,Normal,DTDT,High,,,
Fancy Right,SFU,29,9,2011,4,143,5,0,5,,,1,0,1,,,0,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,Start,Peak,,Good,Bright,No,None,,Normal,DTDT,High,,,
Fancy Right,SFU,29,9,2011,5,193,2,0,2,,,2,0,2,,,0,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,Start,Peak,,Good,Bright,No,None,,Normal,DTDT,High,,,
Fancy Right,SFU,29,9,2011,6,323,4,0,4,,,0,0,0,,,0,0,,0,0,,0,0,2,0,2,,0,0,0,0,0,,0,0,Start,Peak,,Good,Bright,No,None,,Normal,DTDT,High,,,
Fancy Right,SFU,29,9,2011,total,323,165,24,189,195,,44,139,183,190,,0,,,0,,,9,5,58,3,75,,1,1,6,5,13,,0,,Start,Peak,,Good,Bright,No,None,,Normal,DTDT,High,,,
Fancy Head,SFU,29,9,2011,estuary,0,0,18,18,,,0,11,11,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0, ,0,,Start,Start,,Good,Medium,,None,,Above Normal,Clear,Medium,,,
Fancy Head,SFU,29,9,2011,1,50,52,0,52,,,14,0,14,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Good,Medium,,None,,Above Normal,Clear,Medium,,,
Fancy Head,SFU,29,9,2011,2,100,74,0,74,,,7,0,7,,,0,,,0,,,15,15,33,0,63,,0,0,0,0,0,,0,,Start,Start,,Good,Medium,,None,,Above Normal,Clear,Medium,,,
Fancy Head,SFU,29,9,2011,3,155,8,0,8,,,0,0,0,,,0,0,,0,0,,0,0,1,0,1,,0,0,0,0,0,,0,0,Start,Start,,Good,Medium,,None,,Above Normal,Clear,Medium,,,
Fancy Head,SFU,29,9,2011,total,155,134,18,152,,,21,11,32,,,0,,,0,,,15,15,34,0,64,,0,0,0,0,0,,0,,Start,Start,,Good,Medium,,None,,Above Normal,Clear,Medium,,,
Ada,SFU,29,9,2011,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,estuary  TOTALLY flooded with water
Ada,SFU,29,9,2011,1,50,154,0,154,,,177,0,177,,,0,,,0,,,2,0,16,1,19,,0,0,0,0,0,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Ada,SFU,29,9,2011,2,100,149,0,149,,,100,0,100,,,0,,,0,,,0,0,55,0,55,,1,0,2,0,3,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Ada,SFU,29,9,2011,3,150,176,0,176,,,56,0,56,,,0,,,0,,,0,0,18,0,18,,1,0,4,0,5,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Ada,SFU,29,9,2011,4,200,48,0,48,,,12,0,12,,,0,,,0,,,0,0,15,0,15,,0,0,0,0,0,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Ada,SFU,29,9,2011,5,250,53,0,53,,,55,0,55,,,0,,,0,,,4,0,19,0,23,,0,0,0,0,0,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Ada,SFU,29,9,2011,6,300,34,0,34,,,5,0,5,,,0,,,0,,,0,0,6,0,6,,0,0,1,0,1,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Ada,SFU,29,9,2011,7,350,77,0,77,,,10,0,10,,,0,0,,0,0,,2,0,3,0,5,,1,0,0,0,1,,0,0,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Ada,SFU,29,9,2011,total,350,691,0,691,700,,415,0,415,450,,0,,,0,,,8,0,132,1,141,,3,0,7,0,10,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Jane,SFU,29,9,2011,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,,0,0, ,0,,Start,Start,,Good,Medium,,None,,Above Normal,DTDT,Medium,,,
Jane,SFU,29,9,2011,1,50,4,0,4,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Good,Medium,,None,,Above Normal,DTDT,Medium,,,
Jane,SFU,29,9,2011,2,100,1,0,1,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Good,Medium,,None,,Above Normal,DTDT,Medium,,,
Jane,SFU,29,9,2011,3,150,2,0,2,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Good,Medium,,None,,Above Normal,DTDT,Medium,,,
Jane,SFU,29,9,2011,4,200,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Good,Medium,,None,,Above Normal,DTDT,Medium,,,
Jane,SFU,29,9,2011,5,250,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Good,Medium,,None,,Above Normal,DTDT,Medium,,,
Jane,SFU,29,9,2011,6,300,1,0,1,,,0,0,0,,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Start,Start,,Good,Medium,,None,,Above Normal,DTDT,Medium,,,
Jane,SFU,29,9,2011,total,300,8,0,8,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Good,Medium,,None,,Above Normal,DTDT,Medium,,,
Fannie Left,SFU,1,10,2011,estuary,0,0,15,15,,,0,1400,1400,,,0,,,0,,,7,0,142,3,152,,10,1,90,7,108,,0, ,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Fannie Left,SFU,1,10,2011,1,200,37,0,37,,,1250,0,1250,,,0,,,0,,,5,0,217,0,222,,0,0,36,5,41,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Fannie Left,SFU,1,10,2011,2,400,82,0,82, ,,800,0,800,,,0,,,0,,,0,0,278,0,278,,1,0,20,4,25,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Fannie Left,SFU,1,10,2011,3,600,89,0,89,,,113,0,113,,,0,0,,0,0,,0,0,73,0,73,,0,0,10,0,10,,0,0,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Fannie Left,SFU,1,10,2011,total,550,208,15,223,230,,2163,1400,3563,3600,,0,,,0,,,12,0,710,3,725,,11,0,1,156,16,184,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,Water too high to count last 50m of last reach
Kunsoot Main,SFU,1,10,2011,estuary,0,0,16,16,,,0,1679,1679,,,0,,,0,,,9,3,88,5,105,,25,9,72,8,114,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Kunsoot Main,SFU,1,10,2011,1,100,0,13,13,,,793,0,793,,,0,,,0,,,0,0,35,0,35,,2,0,11,0,13,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Kunsoot Main,SFU,1,10,2011,2,200,7,0,7,,,322,0,322,,,0,,,0, ,,0,0,23,0,23,,0,0,4,0,4,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Kunsoot Main,SFU,1,10,2011,3,300,3,0,3,,,261,0,261, ,,0,,,0,,,0,0,37,0,37,,0,0,5,0,5,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Kunsoot Main,SFU,1,10,2011,4,400,6,0,6,,,408,0,408,,,0,0,,0,0,,1,0,47,0,48,,2,2,9,0,13,,0,0,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Kunsoot Main,SFU,1,10,2011,total,400,16,29,45,,,1784,1679,3463,3500,,0,,,0,,,10,3,230,5,248,,29,11,101,8,149,,0,,Peak,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Goat Bushu,SFU,30,9,2011,estuary,0,0,21,21,,,0,650,650,,,0,,,0,,,1,0,3,1,5,,4,1,10,7,22,,0,,Peak,Peak,,Good,Bright,,None,,Above Normal,DTDT,High,,,
Goat Bushu,SFU,30,9,2011,1,100,48,0,48, ,,664,0,664, ,,0, ,,0,,,39,0,19,2,60,,9,1,20,3,33,,0,,Peak,Peak,,Good,Bright,,None,,Above Normal,DTDT,High,,,
Goat Bushu,SFU,30,9,2011,2,200,6,0,6,,,207,0,207,,,0,,,0,,,5,0,0,0,5,,40,0,0,4,44,,0,,Peak,Peak,,Good,Bright,,None,,Above Normal,DTDT,High,,,
Goat Bushu,SFU,30,9,2011,3,250,9,0,9,,,74,0,74,,,0,0,,0,0,,12,0,0,1,13,,22,0,20,6,48,,0,0,Peak,Peak,,Good,Bright,,None,,Above Normal,DTDT,High,,,
Goat Bushu,SFU,30,9,2011,total,250,53,21,74,84,,808,650,1458,1595,,0,,,0,,,21,0,14,4,39,83,75,2,50,20,147,,0,,Peak,Peak,,Good,Bright,,None,,Above Normal,DTDT,High,,,
Codville,SFU,30,9,2011,estuary,0,0,0,0,,,0,0,0, ,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Poor,Bright,,None,,Above Normal,DTDT,Low,,,
Codville,SFU,30,9,2011,1,60,4,0,4,,,7,0,7,,,0,,,0,,,1,0,0,1,2,,1,0,0,0,1,,0,,,,,Poor,Bright,,None,,Above Normal,DTDT,Low,,,
Codville,SFU,30,9,2011,2,130,0,0,0,,,0,0,0,,,0,,,0,,,2,0,0,0,2,,1,0,0,0,1,,0,,,,,Poor,Bright,,None,,Above Normal,DTDT,Low,,,
Codville,SFU,30,9,2011,3,200,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Poor,Bright,,None,,Above Normal,DTDT,Low,,,
Codville,SFU,30,9,2011,4,255,0,0,0,,,0,0,0,,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,,,,Poor,Bright,,None,,Above Normal,DTDT,Low,,,
Codville,SFU,30,9,2011,total,235,4,0,4,,,7,0,7,,,0,,,0,,,3,0,0,1,4,,2,0,0,0,2,,0,,,,,Poor,Bright,,None,,Above Normal,DTDT,Low,,,"Unable to count estuary due to arrival/departure at very high tide; could not count last 30m, beaver pond"
Port John,SFU,30,9,2011,estuary,0,0,5,5,,,0,4,4,,,0,,,0,,,2,0,2,0,4,,2,0,1,2,5,,0,,,,,Poor,Bright,,None,,Above Normal,DTDT,Low,,,
Port John,SFU,30,9,2011,1,40,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Poor,Bright,,None,,Above Normal,DTDT,Low,,,
Port John,SFU,30,9,2011,2,95,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Poor,Bright,,None,,Above Normal,DTDT,Low,,,
Port John,SFU,30,9,2011,3,145,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Poor,Bright,,None,,Above Normal,DTDT,Low,,,
Port John,SFU,30,9,2011,4,210,0,0,0,,,0,0,0,,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,,,,Poor,Bright,,None,,Above Normal,DTDT,Low,,,
Port John,SFU,30,9,2011,total,210,0,5,5,,,0,4,4,,,0,,,0,,,2,0,2,0,4,,2,0,1,2,5,,0,,,,,Poor,Bright,,None,,Above Normal,DTDT,Low,,,
Troupe North,SFU,2,10,2011,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Full,No,None,,Normal,DTDT,High,,,
Troupe North,SFU,2,10,2011,1,60,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Full,No,None,,Normal,DTDT,High,,,
Troupe North,SFU,2,10,2011,2,130,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Full,No,None,,Normal,DTDT,High,,,
Troupe North,SFU,2,10,2011,3,180,0,0,0,,,0,0,0,,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,,,,,Full,No,None,,Normal,DTDT,High,,,
Troupe North,SFU,2,10,2011,total,180,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Full,No,None,,Normal,DTDT,High,,,
Troupe South,SFU,2,10,2011,estuary,0,0,0,0,,,0,6,6,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0, ,,,,Good,Full,No,None,,Normal,DTDT,High,,,
Troupe South,SFU,2,10,2011,1,60,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Good,Full,No,None,,Normal,DTDT,High,,,
Troupe South,SFU,2,10,2011,2,120,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Good,Full,No,None,,Normal,DTDT,High,,,
Troupe South,SFU,2,10,2011,3,195,0,0,0,,,0,0,0,,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,,,,Good,Full,No,None,,Normal,DTDT,High,,,
Troupe South,SFU,2,10,2011,total,195,0,0,0,,,0,6,6,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Good,Full,No,None,,Normal,DTDT,High,,,
Farm Bay,SFU,2,10,2011,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0, ,,,,,Full,No,None,,Normal,DTDT,High,,,
Farm Bay,SFU,2,10,2011,1,50,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Full,No,None,,Normal,DTDT,High,,,
Farm Bay,SFU,2,10,2011,2,100,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Full,No,None,,Normal,DTDT,High,,,
Farm Bay,SFU,2,10,2011,3,150,0,0,0,,,0,0,0,,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,,,,,Full,No,None,,Normal,DTDT,High,,,
Farm Bay,SFU,2,10,2011,total,150,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Full,No,None,,Normal,DTDT,High,,,
Spiller Trib.#1,SFU,3,10,2011,estuary,0,0,0,0,,,0,1,1,,,0,,,0,,,0,0,2,2,4,,0,0,2,1,3,,0,,Peak/End,End,,Excellent,Bright,,None,,Normal,Clear,High,,,
Spiller Trib.#1,SFU,3,10,2011,1,50,0,14,14,,,0,4,4,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Peak/End,End,,Excellent,Bright,,None,,Normal,Clear,High,,,
Spiller Trib.#1,SFU,3,10,2011,total,50,0,14,14,,,0,5,5,,,0,,,0,,,0,0,2,2,4,,0,0,2,1,3,,0,,Peak/End,End,,Excellent,Bright,,None,,Normal,Clear,High,,,
Kill Creek,SFU,3,10,2011,estuary,0,0,8,8,,,0,39,39,,,0,,,0,,,5,1,138,115,259,,1,3,20,10,34,,0,,Peak,End,,Excellent,Bright,No,None,,Below Normal/Normal,"Clear, Silty",High,,,
Kill Creek,SFU,3,10,2011,1,100,12,0,12,,,160,0,160,,,0,,,0,,,5,1,509,15,530,,2,2,72,2,78,,0,,Peak,End,,Excellent,Bright,No,None,,Below Normal/Normal,"Clear, Silty",High,,,
Kill Creek,SFU,3,10,2011,2,200,20,0,20,,,101,0,101,,,0,,,0,,,14,0,277,22,313,,0,0,54,2,56,,0,,Peak,End,,Excellent,Bright,No,None,,Below Normal/Normal,"Clear, Silty",High,,,
Kill Creek,SFU,3,10,2011,3,300,20,0,20,,,98,0,98,,,0,,,0,,,15,0,253,3,271,,1,0,29,1,31,,0,,Peak,End,,Excellent,Bright,No,None,,Below Normal/Normal,"Clear, Silty",High,,,
Kill Creek,SFU,3,10,2011,4,400,41,0,41,,,96,0,96,,,0,,,0,,,35,7,164,11,217,,0,0,41,1,42,,0,,Peak,End,,Excellent,Bright,No,None,,Below Normal/Normal,"Clear, Silty",High,,,
Kill Creek,SFU,3,10,2011,5,480,14,0,14,,,16,0,16,,,0,,,0,,,32,3,46,5,86,,0,0,4,0,4,,0,,Peak,End,,Excellent,Bright,No,None,,Below Normal/Normal,"Clear, Silty",High,,,
Kill Creek,SFU,3,10,2011,total,480,107,8,115,,,471,39,510,,,0,,,0,,,106,12,1387,171,1676,,4,5,220,16,245,,0,,Peak,End,,Excellent,Bright,No,None,,Below Normal/Normal,"Clear, Silty",High,,,
Fell Creek,SFU,3,10,2011,estuary,0,0,71,71,75,,0,67,67,70,,0,,,0,,,0,0,20,27,47,,0,0,17,14,31,,0,,Peak,Peak/End,,Good,Bright,,None,,Normal,DTDT,Medium,,,
Fell Creek,SFU,3,10,2011,1,25,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Peak,Peak/End,,Good,Bright,,None,,Normal,DTDT,Medium,,,
Fell Creek,SFU,3,10,2011,total,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peak,Peak/End,,Good,Bright,,None,,Normal,DTDT,Medium,,,
Mosquito Left,SFU,4,10,2011,1,,3,0,3,,,341,0,341,,,0,,,0,,,3,8,63,55,129,,32,109,230,139,510,,0,,Peak,End,,Good,Bright,No,Rain,Light,Below Normal,"DTDT, Silty",Medium,,,"Estuary counted in Mosquito RIGHT; Mos. L was mostly dried up, counters had difficulty following stream to reaches were not used"
